time (UTC),pressureRow,Depth (m),Temperature (degC ITS-90),bin_centre,x,y
1964-11-30 00:00:00+00:00,2,119.3458002,4.121851852,125,159.76699537481454,32.857142857142854
1964-11-30 00:00:00+00:00,3,169.9772081,3.52,175,159.76699537481454,38
1964-11-30 00:00:00+00:00,4,213.8946344,3.42625,225,159.76699537481454,43.14285714285714
1964-11-30 00:00:00+00:00,5,266.1674968,3.437142857,275,159.76699537481454,48.28571428571429
1964-11-30 00:00:00+00:00,6,303.1526221,3.481666667,325,159.76699537481454,53.42857142857143
1964-11-30 00:00:00+00:00,7,397.7907716,3.63,375,159.76699537481454,58.57142857142857
1964-11-30 00:00:00+00:00,8,403.4202472,3.592857143,425,159.76699537481454,63.714285714285715
1964-11-30 00:00:00+00:00,10,502.4126017,3.54,525,159.76699537481454,74
1964-11-30 00:00:00+00:00,12,604.8112587,3.455,625,159.76699537481454,84.28571428571428
1964-11-30 00:00:00+00:00,16,806.9743837,3.16,825,159.76699537481454,104.85714285714286
1964-11-30 00:00:00+00:00,20,1009.332052,2.835,1025,159.76699537481454,125.42857142857143
1964-11-30 00:00:00+00:00,24,1211.629988,2.5575,1225,159.76699537481454,146
1964-11-30 00:00:00+00:00,30,1515.692074,2.26,1525,159.76699537481454,176.85714285714286
1964-11-30 00:00:00+00:00,40,2023.506387,1.9275,2025,159.76699537481454,228.28571428571428
1964-11-30 00:00:00+00:00,50,2536.840587,1.7,2525,159.76699537481454,279.7142857142857
1964-11-30 00:00:00+00:00,60,3047.801197,1.58,3025,159.76699537481454,331.1428571428571
1964-11-30 00:00:00+00:00,71,3559.934999,1.54,3575,159.76699537481454,387.7142857142857
1964-11-30 00:00:00+00:00,81,4073.231518,1.51,4075,159.76699537481454,439.1428571428571
1964-11-30 00:00:00+00:00,85,4278.87334,1.52,4275,159.76699537481454,459.71428571428567
1964-12-31 00:00:00+00:00,0,16.66410396,6.247,25,160.9627367135003,22.571428571428573
1964-12-31 00:00:00+00:00,1,73.94763269,5.715,75,160.9627367135003,27.714285714285715
1964-12-31 00:00:00+00:00,2,121.9487215,3.985416667,125,160.9627367135003,32.857142857142854
1964-12-31 00:00:00+00:00,3,170.8353746,3.6025,175,160.9627367135003,38
1964-12-31 00:00:00+00:00,4,214.3490753,3.52,225,160.9627367135003,43.14285714285714
1964-12-31 00:00:00+00:00,5,266.456136,3.4875,275,160.9627367135003,48.28571428571429
1964-12-31 00:00:00+00:00,6,301.8052485,3.495,325,160.9627367135003,53.42857142857143
1964-12-31 00:00:00+00:00,7,380.1081415,3.575,375,160.9627367135003,58.57142857142857
1964-12-31 00:00:00+00:00,8,402.8416514,3.59,425,160.9627367135003,63.714285714285715
1964-12-31 00:00:00+00:00,10,504.9382366,3.545,525,160.9627367135003,74
1964-12-31 00:00:00+00:00,12,606.579016,3.405,625,160.9627367135003,84.28571428571428
1964-12-31 00:00:00+00:00,16,809.5024325,3.1,825,160.9627367135003,104.85714285714286
1964-12-31 00:00:00+00:00,20,1012.115067,2.835,1025,160.9627367135003,125.42857142857143
1964-12-31 00:00:00+00:00,24,1215.429328,2.565,1225,160.9627367135003,146
1964-12-31 00:00:00+00:00,30,1520.003532,2.265,1525,160.9627367135003,176.85714285714286
1964-12-31 00:00:00+00:00,40,2029.098828,1.93,2025,160.9627367135003,228.28571428571428
1964-12-31 00:00:00+00:00,50,2541.948225,1.72,2525,160.9627367135003,279.7142857142857
1964-12-31 00:00:00+00:00,61,3053.944528,1.6,3075,160.9627367135003,336.2857142857143
1964-12-31 00:00:00+00:00,71,3567.118596,1.56,3575,160.9627367135003,387.7142857142857
1964-12-31 00:00:00+00:00,81,4082.487685,1.52,4075,160.9627367135003,439.1428571428571
1964-12-31 00:00:00+00:00,85,4288.138104,1.53,4275,160.9627367135003,459.71428571428567
1965-01-31 00:00:00+00:00,0,15.53423528,4.72525,25,162.15847805218607,22.571428571428573
1965-01-31 00:00:00+00:00,1,71.96336202,4.655,75,162.15847805218607,27.714285714285715
1965-01-31 00:00:00+00:00,2,120.4011863,4.4275,125,162.15847805218607,32.857142857142854
1965-01-31 00:00:00+00:00,3,170.1961879,3.47,175,162.15847805218607,38
1965-01-31 00:00:00+00:00,4,215.964824,3.34,225,162.15847805218607,43.14285714285714
1965-01-31 00:00:00+00:00,5,273.0214447,3.445,275,162.15847805218607,48.28571428571429
1965-01-31 00:00:00+00:00,6,302.8155942,3.5,325,162.15847805218607,53.42857142857143
1965-01-31 00:00:00+00:00,7,394.760818,3.54,375,162.15847805218607,58.57142857142857
1965-01-31 00:00:00+00:00,8,403.852565,3.62,425,162.15847805218607,63.714285714285715
1965-01-31 00:00:00+00:00,10,504.9386197,3.52,525,162.15847805218607,74
1965-01-31 00:00:00+00:00,12,606.0736763,3.41,625,162.15847805218607,84.28571428571428
1965-01-31 00:00:00+00:00,16,808.490468,3.1,825,162.15847805218607,104.85714285714286
1965-01-31 00:00:00+00:00,20,1000.967071,2.79,1025,162.15847805218607,125.42857142857143
1965-01-31 00:00:00+00:00,24,1201.734624,2.58,1225,162.15847805218607,146
